"2017-01-18 11:54:20 [main] INFO  c.m.c.controller.ContactControllerIT - Starting ContactControllerIT on aleksandrk with PID 1452 (started by AleksandrK in C:\Documents and Settings\aleksandrk\workspace\contactbook)
""2017-01-18 11:54:38 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring FrameworkServlet ''
""2017-01-18 11:54:38 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
""2017-01-18 11:54:38 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 16 ms
""2017-01-18 11:54:38 [main] INFO  c.m.c.controller.ContactController - Request for fetching Contact with id: 9223372036854775807!
""2017-01-18 11:54:38 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Start to fetch contact with id: 9223372036854775807.
""2017-01-18 11:54:38 [main] INFO  c.m.c.dao.impl.ContactDaoImpl - Start to fetch contacts from Cache.
""2017-01-18 11:54:38 [main] INFO  o.s.t.c.t.TransactionContext - Rolled back transaction for test context [DefaultTestContext@134aada testClass = ContactControllerIT, testInstance = com.mental.contactbook.controller.ContactControllerIT@1a66a44, testMethod = test_getContactNotFound@ContactControllerIT, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@19b7cce testClass = ContactControllerIT, locations = '{}', classes = '{class com.mental.contactbook.Application, class com.mental.contactbook.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.SpringBootTestContextCustomizer@bd1b6a, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@19e13df, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3f4d3d, org.springframework.test.context.web.socket.MockServerContainerContextCustomizer@8e7350], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]]].
""2017-01-18 11:54:38 [main] INFO  o.s.t.c.t.TransactionContext - Began transaction (1) for test context [DefaultTestContext@134aada testClass = ContactControllerIT, testInstance = com.mental.contactbook.controller.ContactControllerIT@88a3e8, testMethod = test_getContact@ContactControllerIT, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@19b7cce testClass = ContactControllerIT, locations = '{}', classes = '{class com.mental.contactbook.Application, class com.mental.contactbook.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.SpringBootTestContextCustomizer@bd1b6a, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@19e13df, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3f4d3d, org.springframework.test.context.web.socket.MockServerContainerContextCustomizer@8e7350], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]]]; transaction manager [org.springframework.jdbc.datasource.DataSourceTransactionManager@1852b49]; rollback [true]
""2017-01-18 11:54:38 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring FrameworkServlet ''
""2017-01-18 11:54:38 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
""2017-01-18 11:54:38 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 0 ms
""2017-01-18 11:54:38 [main] INFO  c.m.c.controller.ContactController - Request for fetching Contact with id: 1!
""2017-01-18 11:54:38 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Start to fetch contact with id: 1.
""2017-01-18 11:54:38 [main] INFO  c.m.c.dao.impl.ContactDaoImpl - Start to fetch contacts from Cache.
""2017-01-18 11:54:38 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Contact found and retrieved!
""2017-01-18 11:54:38 [main] INFO  c.m.c.controller.ContactController - Adding resource to contact
""2017-01-18 11:54:38 [main] INFO  c.m.c.controller.ContactController - Resource created with contact: Contact [id=1, name=Alexander]
""2017-01-18 11:54:38 [main] INFO  o.s.t.c.t.TransactionContext - Rolled back transaction for test context [DefaultTestContext@134aada testClass = ContactControllerIT, testInstance = com.mental.contactbook.controller.ContactControllerIT@88a3e8, testMethod = test_getContact@ContactControllerIT, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@19b7cce testClass = ContactControllerIT, locations = '{}', classes = '{class com.mental.contactbook.Application, class com.mental.contactbook.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.SpringBootTestContextCustomizer@bd1b6a, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@19e13df, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3f4d3d, org.springframework.test.context.web.socket.MockServerContainerContextCustomizer@8e7350], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]]].
""2017-01-18 11:54:38 [main] INFO  o.s.t.c.t.TransactionContext - Began transaction (1) for test context [DefaultTestContext@134aada testClass = ContactControllerIT, testInstance = com.mental.contactbook.controller.ContactControllerIT@11a4795, testMethod = test_getContacts@ContactControllerIT, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@19b7cce testClass = ContactControllerIT, locations = '{}', classes = '{class com.mental.contactbook.Application, class com.mental.contactbook.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.SpringBootTestContextCustomizer@bd1b6a, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@19e13df, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3f4d3d, org.springframework.test.context.web.socket.MockServerContainerContextCustomizer@8e7350], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]]]; transaction manager [org.springframework.jdbc.datasource.DataSourceTransactionManager@1852b49]; rollback [true]
""2017-01-18 11:54:38 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring FrameworkServlet ''
""2017-01-18 11:54:38 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
""2017-01-18 11:54:38 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 16 ms
""2017-01-18 11:54:38 [main] INFO  c.m.c.controller.ContactController - Request for fetching all Contacts.
""2017-01-18 11:54:38 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Start to fetch contacts from DB.
""2017-01-18 11:54:38 [main] INFO  c.m.c.dao.impl.ContactDaoImpl - Start to fetch contacts from Cache.
""2017-01-18 11:54:38 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Contacts retrieved!
""2017-01-18 11:54:38 [main] INFO  o.s.t.c.t.TransactionContext - Rolled back transaction for test context [DefaultTestContext@134aada testClass = ContactControllerIT, testInstance = com.mental.contactbook.controller.ContactControllerIT@11a4795, testMethod = test_getContacts@ContactControllerIT, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@19b7cce testClass = ContactControllerIT, locations = '{}', classes = '{class com.mental.contactbook.Application, class com.mental.contactbook.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.SpringBootTestContextCustomizer@bd1b6a, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@19e13df, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3f4d3d, org.springframework.test.context.web.socket.MockServerContainerContextCustomizer@8e7350], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]]].
